,Study_number,Rs_annual,Study_midyear,geometry,color
2782,14.0,1240.0,-270950400.0,POINT (23.73 0.8),#5aad00ff
109,17.0,400.0,-239414400.0,POINT (-0.36 51.81),#1d8f00ff
782,20.0,376.0,-270950400.0,POINT (-84.29000000000001 35.99),#1b8e00ff
783,20.0,419.0,-270950400.0,POINT (-84.29000000000001 35.99),#1e8f00ff
784,20.0,422.0,-270950400.0,POINT (-84.29000000000001 35.99),#1e8f00ff
785,20.0,370.0,-239414400.0,POINT (-84.29000000000001 35.99),#1b8d00ff
2355,24.0,260.0,-113184000.0,POINT (33 67.5),#138900ff
2353,24.0,260.0,-113184000.0,POINT (33 67.5),#138900ff
2354,24.0,240.0,-113184000.0,POINT (33 67.5),#118900ff
2352,24.0,120.0,-144720000.0,POINT (33 67.5),#088400ff
1352,35.0,739.0,-144720000.0,POINT (-93.17 45.5),#369b00ff
1351,35.0,707.0,-144720000.0,POINT (-93.17 45.5),#339a00ff
1350,35.0,794.0,-144720000.0,POINT (-93.17 45.5),#3a9d00ff
2356,36.0,595.0,-144720000.0,POINT (92.17 56.02),#2b9600ff
2357,36.0,784.0,-144720000.0,POINT (92.17 56.02),#399d00ff
2359,36.0,412.0,-144720000.0,POINT (92.17 56.02),#1e8f00ff
2360,36.0,362.0,-144720000.0,POINT (92.17 56.02),#1a8d00ff
2358,36.0,584.0,-144720000.0,POINT (92.17 56.02),#2a9500ff
786,39.0,399.0,-113184000.0,POINT (9.92 56.25),#1d8f00ff
275,40.0,820.0,-50025600.0,POINT (144 -37.17),#3b9e00ff
273,40.0,780.0,-50025600.0,POINT (144 -37.17),#399c00ff
272,40.0,1230.0,-50025600.0,POINT (144 -37.17),#59ad00ff
274,40.0,920.0,-50025600.0,POINT (144 -37.17),#43a200ff
2502,44.0,303.0,-81648000.0,POINT (-84.09999999999999 36),#168b00ff
2380,59.0,510.0,44582400.0,POINT (1.61 48.56),#259300ff
2379,59.0,540.0,13046400.0,POINT (1.61 48.56),#279400ff
2378,59.0,380.0,-18489600.0,POINT (1.61 48.56),#1b8e00ff
2376,59.0,710.0,13046400.0,POINT (1.65 48.36),#339a00ff
2375,59.0,470.0,-18489600.0,POINT (1.65 48.36),#229100ff
2377,59.0,570.0,44582400.0,POINT (1.65 48.36),#299500ff
3120,61.0,288.0,-81648000.0,POINT (-61.78 -1.4),#158a00ff
789,66.0,1556.0,-113184000.0,POINT (135.83 34.69),#71b900ff
788,66.0,1272.0,-176256000.0,POINT (135.83 34.69),#5dae00ff
787,66.0,1054.0,13046400.0,POINT (135.25 34.75),#4da600ff
102,68.0,457.0,-18489600.0,POINT (-91.94 38.95),#219100ff
3277,77.0,160.0,-81648000.0,POINT (4.36 50.07),#0b8600ff
2450,78.0,224.0,13046400.0,POINT (28.67 66.37),#108800ff
3225,90.0,792.0,76204800.0,POINT (14.65 41.13),#399d00ff
791,94.0,422.0,13046400.0,POINT (-81.67 33.5),#1e8f00ff
790,94.0,357.0,-18489600.0,POINT (-81.67 33.5),#1a8d00ff
781,95.0,1013.0,44582400.0,POINT (-92.2 38.8),#4aa500ff
3282,108.0,49.0,44582400.0,POINT (4.83 43.9),#038200ff
3280,108.0,128.0,44582400.0,POINT (4.83 43.9),#098500ff
3279,108.0,92.0,13046400.0,POINT (4.83 43.9),#068300ff
3281,108.0,32.0,13046400.0,POINT (4.83 43.9),#028100ff
2441,109.0,1070.0,44582400.0,POINT (-84.29000000000001 35.99),#4ea700ff
792,114.0,1098.0,139276800.0,POINT (135.25 34.75),#50a800ff
129,115.0,128.0,107740800.0,POINT (-1.37 51.7),#098500ff
1664,120.0,165.0,44582400.0,POINT (-121.8 47.5),#0c8600ff
2396,142.0,830.0,44582400.0,POINT (16.25 48.67),#3c9e00ff
2397,142.0,600.0,44582400.0,POINT (16.25 48.67),#2b9600ff
3275,143.0,296.0,107740800.0,POINT (14.65 41.13),#158b00ff
3276,143.0,333.0,107740800.0,POINT (14.65 41.13),#188c00ff
795,145.0,187.0,44582400.0,POINT (-113.08 41.87),#0d8700ff
796,145.0,184.0,44582400.0,POINT (-113.08 41.87),#0d8700ff
30,148.0,1065.0,233971200.0,POINT (-84.29000000000001 35.99),#4da700ff
903,151.0,1461.0,139276800.0,POINT (-122.5 44),#6ab500ff
902,151.0,2045.0,139276800.0,POINT (-122.5 44),#95ca00ff
900,151.0,2383.0,139276800.0,POINT (-122.5 44),#aed700ff
901,151.0,1214.0,139276800.0,POINT (-122.5 44),#58ac00ff
899,151.0,1653.0,139276800.0,POINT (-122.5 44),#78bc00ff
95,153.0,452.0,170812800.0,POINT (-92.33 38.9),#219000ff
3250,155.0,757.0,76204800.0,POINT (-79.33 36),#379c00ff
96,177.0,53.0,44582400.0,POINT (-156.67 71.3),#038200ff
1353,183.0,1013.0,-18489600.0,POINT (-92.2 38.75),#4aa500ff
3238,184.0,700.0,170812800.0,POINT (-39.25 -16.07),#339a00ff
2442,190.0,1424.0,76204800.0,POINT (101.63 2.98),#68b400ff
2748,205.0,932.0,44582400.0,POINT (130.58 32.17),#44a200ff
2747,205.0,1218.0,44582400.0,POINT (130.58 32.17),#59ac00ff
2746,205.0,841.0,44582400.0,POINT (130.58 32.17),#3d9f00ff
2745,205.0,1082.0,44582400.0,POINT (130.58 32.17),#4fa700ff
2744,205.0,1110.0,13046400.0,POINT (130.58 32.17),#51a800ff
2743,205.0,933.0,13046400.0,POINT (130.58 32.17),#44a200ff
2742,205.0,1220.0,13046400.0,POINT (130.58 32.17),#59ac00ff
2741,205.0,843.0,13046400.0,POINT (130.58 32.17),#3d9f00ff
2749,205.0,1110.0,44582400.0,POINT (130.58 32.17),#51a800ff
2740,205.0,1085.0,13046400.0,POINT (130.58 32.17),#4fa800ff
797,215.0,491.0,202435200.0,POINT (-84.28 35.97),#239200ff
798,215.0,436.0,202435200.0,POINT (-84.28 35.97),#1f9000ff
58,231.0,62.0,13046400.0,POINT (-156.67 71.3),#048200ff
3240,241.0,369.0,202435200.0,POINT (-67 1.9),#1a8d00ff
3239,241.0,455.0,202435200.0,POINT (-67 1.9),#219100ff
794,243.0,1429.0,44582400.0,POINT (102.31 2.98),#68b400ff
793,243.0,494.0,202435200.0,POINT (135.42 32),#249200ff
3241,251.0,33.0,139276800.0,POINT (19.05 68.37),#028100ff
802,252.0,565.0,297043200.0,POINT (-121.95 47.38),#299500ff
799,252.0,490.0,297043200.0,POINT (-121.95 47.38),#239200ff
800,252.0,650.0,297043200.0,POINT (-121.95 47.38),#2f9800ff
801,252.0,620.0,297043200.0,POINT (-121.58 47.32),#2d9700ff
803,263.0,345.0,170812800.0,POINT (24 38),#198d00ff
804,263.0,411.0,202435200.0,POINT (24 38),#1e8f00ff
1637,267.0,470.0,170812800.0,POINT (76.18000000000001 29.97),#229100ff
3197,269.0,1.0,297043200.0,POINT (39.53 -69.02),#008000ff
805,281.0,509.0,328665600.0,POINT (-81.67 33.5),#259300ff
806,281.0,484.0,328665600.0,POINT (-81.67 33.5),#239200ff
808,281.0,397.0,328665600.0,POINT (-81.67 33.5),#1d8e00ff
807,281.0,478.0,328665600.0,POINT (-81.67 33.5),#229100ff
3242,282.0,890.0,297043200.0,POINT (152.4 -30.5),#41a000ff
2373,283.0,999.0,44582400.0,POINT (-96.5 32),#49a400ff
2446,288.0,615.0,233971200.0,POINT (75.72 23.18),#2c9600ff
2445,288.0,902.0,233971200.0,POINT (75.72 23.18),#41a100ff
2443,288.0,686.0,233971200.0,POINT (75.72 23.18),#329900ff
2444,288.0,646.0,233971200.0,POINT (75.72 23.18),#2f9800ff
2361,289.0,638.0,202435200.0,POINT (75.72 23.18),#2e9700ff
3260,291.0,742.0,233971200.0,POINT (24 38),#369b00ff
3259,291.0,582.0,202435200.0,POINT (24 38),#2a9500ff
3258,291.0,689.0,233971200.0,POINT (24 38),#329900ff
3257,291.0,677.0,202435200.0,POINT (24 38),#319900ff
866,302.0,42.0,328665600.0,POINT (-150.33 67.08),#038200ff
868,302.0,56.0,328665600.0,POINT (-149.33 68.62),#048200ff
867,302.0,34.0,328665600.0,POINT (-149.67 68.03),#028100ff
66,313.0,492.0,360201600.0,POINT (-84.29000000000001 35.99),#239200ff
65,313.0,483.0,360201600.0,POINT (-84.29000000000001 35.99),#239200ff
64,313.0,529.0,360201600.0,POINT (-84.29000000000001 35.99),#269300ff
131,316.0,1299.0,328665600.0,POINT (132.45 34.38),#5faf00ff
132,316.0,774.0,328665600.0,POINT (132.45 34.38),#389c00ff
130,320.0,215.0,297043200.0,POINT (-104.39 32.75),#0f8800ff
2637,321.0,1241.0,297043200.0,POINT (-83.83 10.43),#5aad00ff
